# Notts County FC - Players File for 1888-89 League
#
# NOTE: no club id data, and no contract data, initially the contracts will be generated at runtime on new game setup
#
# Source: https://en.wikipedia.org/wiki/1888%E2%80%9389_Notts_County_F.C._season
#
# Additional Sources:
#   - https://en.wikipedia.org/wiki/Thomas_Allin_%28footballer%29
#   - https://en.wikipedia.org/wiki/George_H._Brown_%28footballer%29
#   - https://en.wikipedia.org/wiki/Bill_Hodder
#   - https://en.wikipedia.org/wiki/Jack_Holland_%28footballer%2C_born_1861%29
#   - https://en.wikipedia.org/wiki/Alf_Shelton
#   - https://en.wikipedia.org/wiki/Harry_Daft
#   - https://en.wikipedia.org/wiki/Bob_Jardine
#
# Birthdate format: yyyy-MM-dd
#
# NOTE: some players don't have a known birthdate so the game generates month and day on new game
#
# NOTE 2: this is only the known players name, common name or nickname, it doesn't include the players full name
#
# COLUMNS
# id, name, lastname, country, birthdate 
1,Thomas,Allin,1000,1865
2,L.F.,Bailey,1000,1865
3,George,Brown,1000,1863
4,H.H.,Brown,1000,1865
5,John,Brown,1000,1865
6,John,Clements,1000,1864
7,Henry,Cursham,1000,1863
8,Harry,Daft,1000,1866-04-05
9,Charles,Dobson,1000,1865
10,Herbert,Emmitt,1000,1864
11,Galbraith,1000,1865
12,William,Gunn,1000,1865
13,Frank,Guttridge,1000,1863
14,Ted,Harker,1000,1865
15,Bill,Hodder,1000,1864
16,Jack,Holland,1000,1861
17,Harry,Jackson,1000,1865
18,Bob,Jardine,1001,1864
19,J.T.,Marshall,1000,1864
20,Billy,May,1000,1864
21,Edward,May,1000,1865
22,Tom,McLean,1000,1863
23,Albert,Moore,1000,1865
24,Haydn,Morley,1000,1864
25,Hugh,Owen,1000,1864
26,Albert,Shaw,1000,1865
27,Alf,Shelton,1000,1865-09-11
28,Charlie,Shelton,1000,1864
29,Mordecai,Sherwin,1000,1862
30,Herbert,Snook,1000,1865
31,H,Stevens,1000,1865
32,Ben,Warburton,1000,1864
33,Edwin,Wardle,1000,1864
34,Fred,Weightman,1000,1865
35,Tom,Widdowson,1000,1863
