# Birmingham St George's - 1888-89 Player File
#
# Source: https://en.wikipedia.org/wiki/Birmingham_St_George%27s_F.C.
#
# COLUMNS
# id, name, lastname, country, birthdate 
3101,Dennis,Hodgetts,1000,1863-11-28
3102,Chris,Charsley,1000,1864
3103,Jack,Hallissey,1000,1866
3104,George,Short,1000,1866
3105,Tom,Green,1000,1866
3106,Eddy,Stanley,1000,1866
3107,Harry,Morris,1000,1866
3108,Will,Devey,1000,1866
3109,Caesar,Jenkyns,1002,1866-08-24
3110,Fred,Wheldon,1000,1869-11-01
3111,Charlie,Hare,1000,1866-11-23

