# Bolton Wanderers FC - Players File for 1888-89 League
#
# NOTE: no club id data, and no contract data, initially the contracts will be generated at runtime on new game setup
#
# Source: https://en.wikipedia.org/wiki/1888%E2%80%9389_Bolton_Wanderers_F.C._season
#
# Additional Sources:
#   - https://en.wikipedia.org/wiki/James_Brogan_%28footballer%2C_born_1865%29
#   - https://en.wikipedia.org/wiki/Kenny_Davenport
#   - https://en.wikipedia.org/wiki/Harry_Tyrer_%28footballer%2C_born_1868%29
#   - https://en.wikipedia.org/wiki/Charlie_Harrison_%28footballer%2C_born_1861%29
#   - https://en.wikipedia.org/wiki/Alexander_Barbour
#   - https://en.wikipedia.org/wiki/Peter_Bullough
#   - https://en.wikipedia.org/wiki/Robert_Roberts_%28footballer%2C_born_1864%29
#   - https://en.wikipedia.org/wiki/Frank_Dyer
#   - https://en.wikipedia.org/wiki/E._Siddons
#   - https://en.wikipedia.org/wiki/H._McGuiness
#   - https://www.worldfootball.net/teams/bolton-wanderers/10/
#
# Birthdate format: yyyy-MM-dd
#
# NOTE: some players don't have a known birthdate so the game generates month and day on new game
#
# NOTE 2: this is only the known players name, common name or nickname, it doesn't include the players full name
#
# COLUMNS
# id, name, lastname, country, birthdate 
1,James,Brogan,1001,1864-06-17
2,Kenny,Davenport,1000,1862-03-23
3,John,Milne,1000,1866
4,David,Weir,1000,1863
5,Bob,Roberts,1002,1864
6,Alexander,Barbour,1001,1862-06-07
7,Harry,Tyrer,1000,1868-07-26
8,Peter,Bullough,1000,1865
9,Charlie,Harrison,1000,1861-09-25
10,Di,Jones,1002,1867-02-11
11,Bethel,Robinson,1000,1861-05-01
12,Thomas,Coupar,1000,1865
13,G,Owen,1000,1865
14,J,Scowcroft,1000,1861-10-08
15,Sam,Gillam,1000,1865
16,W,Flitcroft,1000,1864-06-27
17,D,Mercer,1000,1865
18,John,Mitchell,1000,1861-04-01
19,Jimmy,Turner,1000,1865
20,E,Siddons,1000,1866
21,W,Simmers,1000,1865
22,Frank,Dyer,1001,1867-02-04
23,H,McGuinness,1000,1866
24,Jim,Parkinson,1000,1865
