# Everton FC - Players File for 1888-89 League
#
# NOTE: no club id data, and no contract data, initially the contracts will be generated at runtime on new game setup
#
# Source: https://en.wikipedia.org/wiki/1888%E2%80%9389_Everton_F.C._season
#
# Additional Sources:
#   - https://en.wikipedia.org/wiki/Edgar_Chadwick
#   - https://en.wikipedia.org/wiki/Johnny_Holt
#   - https://en.wikipedia.org/wiki/George_Dobson_%28footballer%2C_born_1862%29
#
# Birthdate format: yyyy-MM-dd
#
# NOTE: some players don't have a known birthdate so the game generates month and day on new game
#
# NOTE 2: this is only the known players name, common name or nickname, it doesn't include the players full name
#
# COLUMNS
# id, name, lastname, country, birthdate 
1,Edgar,Chadwick,1000,1869-06-14
2,Johnny,Holt,1000,1865-04-10
3,George,Dobson,1000,1862
4,Robert,Smalley,1000,1865
5,Nick,Ross,1000,1863
6,James,Weir,1000,1864
7,George,Farmer,1000,1865
8,Robert,Watson,1000,1864
9,James,Costley,1000,1865
10,Alec,Dick,1000,1865
11,David,Waugh,1000,1864
12,William,Brown,1000,1865
13,Alex,McKinnon,1000,1864
14,Alf,Milward,1000,1865
15,Jack,Angus,1000,1865
16,George,Fleming,1000,1864
17,Charles,Jolliffe,1000,1865
18,William,Lewis,1000,1865
19,William,Briscoe,1000,1864
20,Albert,Chadwick,1000,1866
21,Jas,Coyne,1000,1865
22,George,Davie,1000,1865
23,Mike,Higgins,1000,1865
24,Robert,Jones,1000,1864
25,Bob,Kelso,1000,1863
26,Jack,Keys,1000,1865
27,R,Morris,1000,1865
28,Henry,Parkinson,1000,1865
29,Hugh,Pollock,1000,1864
30,Roberts,1000,1865
31,George,Stephenson,1000,1864
32,Harry,Warmby,1000,1864
33,Walter,Wilson,1000,1864
